anchor_name,module,anchor_signature,anchor_informal,variant_signature,transformation_type,change_description
ContinuousLinearMap.le_opNorm_of_le,Mathlib.Analysis.NormedSpace.OperatorNorm.Basic, {c : ℝ} {x} (h : ‖x‖ ≤ c) : ‖f x‖ ≤ ‖f‖ * c,"For any continuous semilinear map $f \colon E \to F$ between seminormed additive commutative groups and any element $x \in E$, if $\|x\| \leq c$ for some real number $c \geq 0$, then $\|f(x)\| \leq \|f\| \cdot c$.", {c : ℝ} {x} (h : ‖x‖ ≤ c) : ¬(‖f x‖ ≤ ‖f‖ * c),negation,Negated conclusion with ¬
ContinuousLinearMap.le_opNorm_of_le,Mathlib.Analysis.NormedSpace.OperatorNorm.Basic, {c : ℝ} {x} (h : ‖x‖ ≤ c) : ‖f x‖ ≤ ‖f‖ * c,"For any continuous semilinear map $f \colon E \to F$ between seminormed additive commutative groups and any element $x \in E$, if $\|x\| \leq c$ for some real number $c \geq 0$, then $\|f(x)\| \leq \|f\| \cdot c$.", {c : ℝ} {x} : ‖f x‖ ≤ ‖f‖ * c,generalization,Removed hypothesis (h : ‖x‖ ≤ c)
MeasureTheory.IsStoppingTime.measurableSet_eq_of_countable_range,Mathlib.Probability.Process.Stopping, (hτ : IsStoppingTime f τ) (h_countable : (Set.range τ).Countable) (i : ι) : MeasurableSet[f i] {ω | τ ω = i},"Let $\iota$ be a preorder, $f$ a filtration of measurable spaces indexed by $\iota$, and $\tau : \Omega \to \iota$ a stopping time with respect to $f$. If the range of $\tau$ is countable, then for any $i \in \iota$, the set $\{\omega \in \Omega \mid \tau(\omega) = i\}$ is measurable with respect to the $\sigma$-algebra $f(i)$.", (hτ : IsStoppingTime f τ) (h_countable : (Set.range τ).Countable) (i : ι) : MeasurableSet[f i] {ω | τ ω ≠ i},negation,Changed = to ≠
MeasureTheory.IsStoppingTime.measurableSet_eq_of_countable_range,Mathlib.Probability.Process.Stopping, (hτ : IsStoppingTime f τ) (h_countable : (Set.range τ).Countable) (i : ι) : MeasurableSet[f i] {ω | τ ω = i},"Let $\iota$ be a preorder, $f$ a filtration of measurable spaces indexed by $\iota$, and $\tau : \Omega \to \iota$ a stopping time with respect to $f$. If the range of $\tau$ is countable, then for any $i \in \iota$, the set $\{\omega \in \Omega \mid \tau(\omega) = i\}$ is measurable with respect to the $\sigma$-algebra $f(i)$.", (hτ : IsStoppingTime f τ) (h_countable : (Set.range τ).Countable) (i : ι) : MeasurableSet {ω | τ ω = i},generalization,Removed typeclass [f i]
MeasureTheory.IsStoppingTime.measurableSet_eq_of_countable_range,Mathlib.Probability.Process.Stopping, (hτ : IsStoppingTime f τ) (h_countable : (Set.range τ).Countable) (i : ι) : MeasurableSet[f i] {ω | τ ω = i},"Let $\iota$ be a preorder, $f$ a filtration of measurable spaces indexed by $\iota$, and $\tau : \Omega \to \iota$ a stopping time with respect to $f$. If the range of $\tau$ is countable, then for any $i \in \iota$, the set $\{\omega \in \Omega \mid \tau(\omega) = i\}$ is measurable with respect to the $\sigma$-algebra $f(i)$.", (hτ : IsStoppingTime f τ) (h_countable : (Set.range τ).Finite) (i : ι) : MeasurableSet[f i] {ω | τ ω = i},specialization,Specialized: Countable → Finite
Finsupp.mapRange_neLocus_eq,Mathlib.Data.Finsupp.NeLocus," [DecidableEq N] [DecidableEq M] [Zero M] [Zero N] (f g : α →₀ N) {F : N → M} (F0 : F 0 = 0)
  (hF : Function.Injective F) : (f.mapRange F F0).neLocus (g.mapRange F F0) = f.neLocus g","Let $M$ and $N$ be types with zero elements and decidable equality, and let $F : N \to M$ be an injective function such that $F(0) = 0$. For any two finitely supported functions $f, g : \alpha \to N$, the locus of unequal values of the mapped functions $F \circ f$ and $F \circ g$ is equal to the locus of unequal values of $f$ and $g$, i.e.,
\[
\text{neLocus}(f \circ F, g \circ F) = \text{neLocus}(f, g).
\]"," [DecidableEq N] [DecidableEq M] [Zero M] [Zero N] (f g : α →₀ N) {F : N → M} (F0 : F 0 = 0)
  (hF : Function.Injective F) : (f.mapRange F F0).neLocus (g.mapRange F F0) ≠ f.neLocus g",negation,Changed = to ≠
Finsupp.mapRange_neLocus_eq,Mathlib.Data.Finsupp.NeLocus," [DecidableEq N] [DecidableEq M] [Zero M] [Zero N] (f g : α →₀ N) {F : N → M} (F0 : F 0 = 0)
  (hF : Function.Injective F) : (f.mapRange F F0).neLocus (g.mapRange F F0) = f.neLocus g","Let $M$ and $N$ be types with zero elements and decidable equality, and let $F : N \to M$ be an injective function such that $F(0) = 0$. For any two finitely supported functions $f, g : \alpha \to N$, the locus of unequal values of the mapped functions $F \circ f$ and $F \circ g$ is equal to the locus of unequal values of $f$ and $g$, i.e.,
\[
\text{neLocus}(f \circ F, g \circ F) = \text{neLocus}(f, g).
\]"," [DecidableEq M] [Zero M] [Zero N] (f g : α →₀ N) {F : N → M} (F0 : F 0 = 0)
  (hF : Function.Injective F) : (f.mapRange F F0).neLocus (g.mapRange F F0) = f.neLocus g",generalization,Removed typeclass [DecidableEq N]
List.Vector.mem_cons_self,Mathlib.Data.Vector.Mem, (v : Vector α n) : a ∈ (a ::ᵥ v).toList,"For any vector $v$ of length $n$ over type $\alpha$ and any element $a \in \alpha$, the element $a$ belongs to the list representation of the vector $a :: v$.", (v : Vector α n) : ¬(a ∈ (a ::ᵥ v).toList),negation,Negated conclusion with ¬
List.Vector.mem_cons_self,Mathlib.Data.Vector.Mem, (v : Vector α n) : a ∈ (a ::ᵥ v).toList,"For any vector $v$ of length $n$ over type $\alpha$ and any element $a \in \alpha$, the element $a$ belongs to the list representation of the vector $a :: v$.", : a ∈ (a ::ᵥ v).toList,generalization,Removed hypothesis (v : Vector α n)
HasDerivWithinAt.inv,Mathlib.Analysis.Calculus.Deriv.Inv, (hc : HasDerivWithinAt c c' s x) (hx : c x ≠ 0) : HasDerivWithinAt (fun y => (c y)⁻¹) (-c' / c x ^ 2) s x,"Let $c$ be a function defined on a subset $s$ of a normed field $\mathbb{K}$, differentiable within $s$ at a point $x \in s$ with derivative $c'$, and suppose $c(x) \neq 0$. Then the function $y \mapsto (c(y))^{-1}$ has a derivative within $s$ at $x$ given by $-c' / (c(x))^2$.", (hc : HasDerivWithinAt c c' s x) (hx : c x ≠ 0) : ¬(HasDerivWithinAt (fun y => (c y)⁻¹) (-c' / c x ^ 2) s x),negation,Negated conclusion with ¬
